file,intent,text_pj
public/compliance-timelines/compliance-implementation-timeline.html,money,no
public/compliance-faq/what-does-compliance-software-actually-do.html,informational,no
public/compliance-faq/can-ai-handle-compliance.html,urgent,no
public/compliance-faq/who-is-responsible-for-compliance.html,informational,no
public/compliance-faq/what-happens-if-compliance-fails.html,urgent,no
public/compliance-faq/is-compliance-software-required-by-law.html,informational,no
public/assistance/dmv/san-diego-dmv-no-appointment.html,informational,yes
public/assistance/courthouse/san-diego-missed-court-date.html,urgent,yes
public/assistance/stadiums/san-diego-stadium-parking-confusion.html,informational,yes
public/assistance/hospitals/san-diego-hospital-billing-confusion.html,informational,yes
public/assistance/airports/san-diego-airport-tight-connection.html,informational,yes
public/compliance-as-code/what-is-compliance-as-code.html,informational,no
public/compliance-as-code/ai-driven-compliance-systems.html,urgent,no
public/compliance-as-code/compliance-as-code-vs-saas.html,informational,no
public/compliance-as-code/compliance-as-code-examples.html,informational,no
public/regulatory-enforcement/how-compliance-is-enforced.html,informational,no
public/regulatory-enforcement/do-regulators-care-about-compliance-software.html,informational,no
public/regulatory-enforcement/what-regulators-actually-look-for.html,informational,no
public/regulatory-enforcement/why-companies-get-fined-notified-or-warned.html,informational,no
public/decision-support/i-still-dont-know-what-to-do.html,informational,yes
public/decision-support/should-i-build-or-buy-compliance.html,informational,yes
public/decision-support/i-read-everything-now-what.html,informational,yes
public/decision-support/who-should-own-compliance-in-my-company.html,informational,yes
public/compliance-checklists/audit-evidence-examples.html,informational,no
public/compliance-checklists/what-regulators-accept-as-evidence.html,informational,no
public/compliance-checklists/minimum-compliance-documentation.html,informational,no
public/compliance-checklists/index.html,urgent,no
public/compliance-checklists/compliance-evidence-checklist.html,informational,no
public/compliance-drift/compliance-drift-explained.html,urgent,no
public/airport-help/san-diego-airport-delays-weather-help.html,urgent,yes
public/airport-help/san-diego-airport-transportation-help.html,money,yes
public/airport-help/allegiant-air-san-diego-terminal-1-help.html,informational,yes
public/airport-help/spirit-airlines-san-diego-terminal-1-help.html,informational,yes
public/airport-help/missed-flight-san-diego-airport-what-to-do.html,urgent,yes
public/airport-help/united-airlines-san-diego-terminal-2-help.html,informational,yes
public/airport-help/san-diego-airport-terminal-2-help.html,informational,yes
public/airport-help/sun-country-airlines-san-diego-terminal-1-help.html,informational,yes
public/airport-help/lufthansa-san-diego-terminal-2-help.html,informational,yes
public/airport-help/delta-air-lines-san-diego-terminal-2-help.html,informational,yes
public/airport-help/southwest-airlines-san-diego-terminal-1-help.html,informational,yes
public/airport-help/picking-someone-up-san-diego-airport-help.html,informational,yes
public/airport-help/american-airlines-san-diego-terminal-2-help.html,informational,yes
public/airport-help/jetblue-san-diego-terminal-2-help.html,informational,yes
public/airport-help/british-airways-san-diego-terminal-2-help.html,informational,yes
public/airport-help/uber-vs-parking-san-diego-airport.html,money,yes
public/airport-help/japan-airlines-san-diego-terminal-2-help.html,informational,yes
public/airport-help/frontier-airlines-san-diego-terminal-1-help.html,informational,yes
public/airport-help/san-diego-airport-terminal-1-help.html,informational,yes
public/airport-help/alaska-airlines-san-diego-terminal-2-help.html,informational,yes
public/regulatory-investigations/can-compliance-software-prevent-investigations.html,informational,no
public/regulatory-investigations/how-long-compliance-investigations-last.html,informational,no
public/regulatory-investigations/what-triggers-a-compliance-investigation.html,informational,no
public/regulatory-investigations/what-happens-during-regulatory-investigation.html,informational,no
public/compliance-incidents/when-humans-need-to-step-in.html,informational,no
public/compliance-incidents/data-breach-compliance-responsibility.html,informational,no
public/compliance-incidents/incident-response-vs-compliance-tools.html,informational,no
public/compliance-incidents/what-happens-when-compliance-breaks.html,informational,no
public/compliance-audits/does-compliance-software-help-audits.html,urgent,no
public/compliance-audits/audit-readiness-explained.html,urgent,no
public/compliance-audits/how-compliance-audits-work.html,informational,no
public/compliance-audits/what-auditors-actually-look-for.html,informational,no
public/compliance-escalation/when-to-talk-to-a-human.html,informational,no
public/compliance-software-vendors/secureframe-compliance-explained.html,money,no
public/compliance-software-vendors/should-you-own-your-compliance.html,money,no
public/compliance-software-vendors/drata-compliance-explained.html,money,no
public/compliance-software-vendors/_disclaimer.html,urgent,no
public/compliance-software-vendors/sprinto-compliance-explained.html,money,no
public/compliance-software-vendors/logicgate-grc-explained.html,money,no
public/compliance-software-vendors/hyperproof-compliance-explained.html,money,no
public/compliance-software-vendors/index.html,money,no
public/compliance-software-vendors/vanta-compliance-explained.html,money,no
public/compliance-software/build-vs-buy-compliance-software.html,money,no
public/compliance-software/custom-compliance-software.html,money,no
public/compliance-software/compliance-software-for-small-business.html,money,no
public/compliance-software/compliance-software-alternatives.html,money,no
public/compliance-software/compliance-software-for-startups.html,money,no
public/compliance-software/compliance-software-pricing-breakdown.html,money,no
public/compliance-software/best-compliance-software-explained.html,money,no
public/compliance-software/index.html,money,no
public/compliance-software/ai-compliance-software.html,money,no
public/compliance-software/compliance-software-vs-internal-systems.html,money,no
public/compliance-frameworks/hipaa-compliance-systems-explained.html,urgent,no
public/compliance-frameworks/iso-27001-compliance-explained.html,urgent,no
public/compliance-frameworks/soc-2-compliance-owned-vs-saas.html,informational,no
public/compliance-frameworks/gdpr-compliance-owned-systems.html,informational,no
public/compliance-frameworks/pci-dss-compliance-explained.html,urgent,no
public/compliance-pricing/compliance-software-hidden-fees.html,money,no
public/compliance-pricing/compliance-software-roi-explained.html,money,no
public/compliance-pricing/why-compliance-software-is-so-expensive.html,money,no
public/compliance-pricing/compliance-software-cost.html,money,no
public/regulatory-warnings/what-happens-after-a-regulatory-warning.html,urgent,no
public/regulatory-warnings/how-to-respond-to-compliance-notice.html,urgent,no
public/regulatory-warnings/are-warning-letters-public.html,urgent,no
public/regulatory-warnings/what-is-a-compliance-warning-letter.html,urgent,no
public/compliance-fines/gdpr-fines-explained.html,urgent,no
public/compliance-fines/hipaa-penalties-explained.html,urgent,no
public/compliance-fines/pci-dss-non-compliance-penalties.html,informational,no
public/compliance-fines/iso-27001-non-compliance.html,informational,no
public/compliance-fines/what-happens-if-you-fail-soc-2.html,urgent,no
public/compliance-decisions/can-i-manage-compliance-internally.html,informational,no
public/compliance-decisions/when-not-to-buy-compliance-software.html,informational,no
public/compliance-decisions/is-compliance-software-worth-it.html,money,no
public/compliance-decisions/do-i-need-compliance-software.html,informational,no
public/human-clarity/index.html,informational,yes
public/compliance-timelines-visual/incident-to-enforcement.html,informational,no
public/snippets/search/search-trust.html,informational,no
public/compliance-signal-index/index.html,informational,no
public/who-do-i-call/dmv/real-id-confusion.html,urgent,yes
public/who-do-i-call/dmv/no-dmv-appointment.html,urgent,yes
public/who-do-i-call/hospital/hospital-billing-confusion.html,urgent,yes
public/who-do-i-call/hospital/er-wait-too-long.html,urgent,yes
public/who-do-i-call/events/event-parking-confusion.html,urgent,yes
public/who-do-i-call/court/missed-court.html,urgent,yes
public/who-do-i-call/airport/airport-pickup-confusion.html,urgent,yes
public/who-do-i-call/airport/late-night-flight-arrival.html,urgent,yes
public/who-do-i-call/airport/missed-flight-san-diego.html,urgent,yes
public/who-do-i-call/university/lost-on-campus.html,urgent,yes
public/after-reading/after-comparing-compliance-software.html,informational,no
public/after-reading/finished-reading-about-compliance.html,informational,no
public/after-reading/after-talking-to-vendors.html,informational,no
