cluster_a	cluster_b	score
ai-automation__ai-restaurants	payments__chargebacks	16.0
ai-automation__ai-consulting	payments__stripe	16.0
payments__chargebacks	payments__payments-overview	16.0
ai-automation__ai-healthcare	payments__chargebacks	15.0
ai-automation__ai-consulting	payments__chargebacks	15.0
payments__payments-overview	payments__stripe	15.0
ai-automation__ai-customer-service	operator-tools__operator-tools-overview	14.0
ai-automation__ai-healthcare	operator-tools__operator-tools-overview	14.0
ai-automation__ai-consulting	operator-tools__operator-tools-overview	14.0
operator-tools__operator-tools-overview	problem-intelligence__general	14.0
ai-automation__ai-tools	operator-tools__operator-tools-overview	14.0
operator-tools__operator-tools-overview	payments__payment-fees	12.0
payments__chargebacks	payments__stripe	12.0
ai-automation__ai-scheduling	payments__stripe	11.0
payments__payment-fees	payments__stripe	10.0
ai-automation__ai-cost	payments__stripe	9.0
payments__chargebacks	payments__payment-fees	9.0
ai-automation__ai-city-pages	payments__chargebacks	8.0
ai-automation__ai-scheduling	payments__chargebacks	8.0
ai-automation__ai-cost	payments__chargebacks	8.0
ai-automation__ai-overview	payments__chargebacks	8.0
ai-automation__ai-agent-workflows	payments__stripe	8.0
ai-automation__ai-agent-workflows	payments__chargebacks	8.0
ai-automation__ai-tools	payments__chargebacks	8.0
payments__stripe	problem-intelligence__general	4.0
ai-automation__ai-customer-service	payments__chargebacks	3.0
ai-automation__ai-customer-service	payments__stripe	2.0
payments__chargebacks	problem-intelligence__general	2.0
operator-tools__operator-tools-overview	payments__stripe	2.0
operator-tools__operator-tools-overview	payments__chargebacks	1.0
